test_batch_id,FFVUS_PR/hbos,FFVUS_PR/denoising_auto_encoder,FFVUS_PR/cblof,FFVUS_PR/random_black_forest,FFVUS_PR/auto_encoder,FFVUS_PR/tran_ad,FFVUS_PR/omni_anomaly,FFVUS_PR/mtad_gat,FFVUS_PR/copod,FFVUS_PR/encdec_ad,FFVUS_PR/avg_ens,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/hbos,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/denoising_auto_encoder,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/cblof,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/random_black_forest,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/auto_encoder,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/tran_ad,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/omni_anomaly,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/mtad_gat,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/copod,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/encdec_ad,INDEPENDENT_INTERPRETABILITY_NDCG_HIT_K_5_W_10_SCORE_WITH_SMOOTHING/avg_ens,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/hbos,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/denoising_auto_encoder,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/cblof,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/random_black_forest,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/auto_encoder,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/tran_ad,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/omni_anomaly,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/mtad_gat,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/copod,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/encdec_ad,INTERPRETABILITY_CONDITIONAL_VOLUMN_PR_WITH_NDCG_HIT_K_5_W_10_M_50_SCORE_COMBINATION_WITH_SMOOTHING/avg_ens,sum_acc_interp/hbos,mul_acc_interp/hbos,sum_acc_interp/denoising_auto_encoder,mul_acc_interp/denoising_auto_encoder,sum_acc_interp/cblof,mul_acc_interp/cblof,sum_acc_interp/random_black_forest,mul_acc_interp/random_black_forest,sum_acc_interp/auto_encoder,mul_acc_interp/auto_encoder,sum_acc_interp/tran_ad,mul_acc_interp/tran_ad,sum_acc_interp/omni_anomaly,mul_acc_interp/omni_anomaly,sum_acc_interp/mtad_gat,mul_acc_interp/mtad_gat,sum_acc_interp/copod,mul_acc_interp/copod,sum_acc_interp/encdec_ad,mul_acc_interp/encdec_ad,sum_acc_interp/avg_ens,mul_acc_interp/avg_ens
synthetic_batch_1296.out,0.0568402148783206,0.0574595443904399,0.0559499152004718,0.0523435808718204,0.9330357313156128,0.9934805035591124,0.065492495894432,0.0674020498991012,0.0530774183571338,0.2380457669496536,0.1659760624170303,0.4734690075910292,0.8438157228964629,0.4370053962379297,0.9603798807641306,0.6936613614901299,1.0,0.7221898567218693,0.316871026442476,0.6452130204309147,0.8181818181818182,0.988816053138529,0.2105237127095461,0.2786726575344801,0.2367602887004614,0.4363865764439106,0.8866049230098725,0.999087176322937,0.2388919107615947,0.1368278282135725,0.1711900853365659,0.3980612248182297,0.7124709486961365,0.26515461123467493,0.10149580278609897,0.4506376336434514,0.10759258296985118,0.24647765571920077,0.09919931602041784,0.5063617308179755,0.09927630564663904,0.8133485464028714,0.7957361435828371,0.9967402517795563,0.996729591069866,0.39384117630815063,0.12009413710807723,0.1921365381707886,0.11115926694208703,0.3491452193940242,0.09808595252806064,0.5281137925657359,0.3687930918583423,0.5773960577777797,0.2842412807360147
synthetic_batch_995.out,0.2130529582500457,0.1683676093816757,0.2201773971319198,0.4070549309253692,0.5546573400497437,0.6291791200637817,0.3023634254932403,0.1855353713035583,0.1711439043283462,0.2388432174921035,0.2732173800468445,0.69013767842259,0.4323529216034572,0.3493628137983973,0.7568973144196456,0.9190431034181769,0.8550872746457867,0.5866977719735288,0.432264503297692,0.4497292893472329,0.3095565928242869,0.729258486202977,0.5088547512888908,0.2779293423891067,0.3161140805482864,0.682337971329689,0.7901043796539307,0.7685294926166535,0.4989452171325683,0.3481042619049549,0.3424242371320724,0.2523474901914596,0.638912006020546,0.45159531833631783,0.3255921131543908,0.30036026549256645,0.2423563839250858,0.2847701054651586,0.2701189258302466,0.5819761226725074,0.5294010734046235,0.7368502217339603,0.6918013839141303,0.7421331973547842,0.7249413730001565,0.4445305987333845,0.3990635258149342,0.30889993730062515,0.25963215085613156,0.31043659683778957,0.24793605925887588,0.2741999051581952,0.26964083953052354,0.5012379331249107,0.3975080092903748
synthetic_batch_701.out,0.2043618559837341,0.3001466691493988,0.4651558697223663,0.4475107491016388,0.5586042404174805,0.6786694526672363,0.2991261482238769,0.1244137659668922,0.1055767759680748,0.5159613490104675,0.4741676449775696,0.8163477314377823,0.0868858517849407,0.4668373665182941,0.9157518700634656,0.4491465078722779,0.9391691570469348,0.697696387320193,0.6756614172605461,0.5850254455959358,0.553411481312011,0.8191580156729732,0.5774964025616646,0.1107548923790454,0.394357304573059,0.7805181294679642,0.5563423582911491,0.8380446636676788,0.5055348974466324,0.3773173768818378,0.3227217578887939,0.4518832474946975,0.747362590432167,0.5103547937107582,0.3268908993912314,0.19351626046716974,0.13476128024850162,0.4659966181203302,0.4659951012469427,0.6816313095825521,0.6012176958454346,0.5038753741448792,0.497930950271084,0.8089193048570855,0.7879468495162222,0.4984112677720349,0.41872896233208573,0.40003759161371916,0.2101342053900852,0.3453011107820053,0.178873158749549,0.5346864151612393,0.5340306511612412,0.6466628303252714,0.6006503063749286
synthetic_batch_1341.out,0.0480693504214286,0.5833067297935486,0.892464280128479,0.8755345344543457,0.1170610710978508,0.9089372158050536,0.9945054054260254,0.0484536588191986,0.076097123324871,0.5260738730430603,0.8978550434112549,1.0,0.0,0.7332975370702806,1.0,0.0,1.0,0.952775121283865,1.0,0.8778082091410079,1.0,1.0,0.6618025832623243,0.1135147741064429,0.7948796367645263,0.9163233065605164,0.0551815312355756,0.9876896035671234,0.997714558839798,0.2128781113028526,0.5864655460417271,0.7471423065662384,0.9883339500427246,0.5240346752107143,0.09172933146475452,0.2916533648967743,0.0,0.8128809085993798,0.8050894683564892,0.9377672672271729,0.9336373373781329,0.0585305355489254,0.0,0.9544686079025269,0.9522966059643073,0.9736402633549452,0.9731931226911581,0.5242268294095993,0.09242880390873666,0.4769526662329394,0.1400530582503622,0.7630369365215302,0.6894474538038519,0.9489275217056274,0.9461787363880294
synthetic_batch_965.out,0.256654679775238,0.2650556862354278,0.251565933227539,0.2635250389575958,0.3119999468326568,0.3454989492893219,0.2720538675785064,0.1114213913679122,0.2493707537651062,0.4060582816600799,0.4499514400959015,0.6826850188232575,0.6361629061954129,0.1627171206998988,0.7725168392070659,0.5938891980902643,0.5033330977284503,0.5838058529548601,0.1151877795757176,0.602802228778536,0.5422147103053716,0.5960127598023517,0.5144037288427353,0.4198366954922676,0.208888780772686,0.5650145348906517,0.5070834121108055,0.277046690583229,0.4035813489556312,0.1076698626577854,0.4673228251934052,0.4543017965555191,0.5896098721027374,0.4696698492992477,0.3730584476624528,0.45060929621542034,0.37420132490684055,0.2071415269637189,0.19761408984948634,0.5180209390823309,0.39299092910814853,0.4529445724614606,0.40908625358220313,0.4244160235088861,0.40974196725651696,0.4279298602666832,0.3711511043243365,0.1133045854718149,0.11327328559089475,0.4260864912718211,0.35279514662175093,0.4741364959827258,0.4643615824195881,0.5229820999491266,0.5127838976031642
synthetic_batch_1266.out,0.1065854132175445,0.1397443264722824,0.141303464770317,0.2754541933536529,0.197779431939125,0.5258073210716248,0.2314304411411285,0.1157829165458679,0.122934952378273,0.1424891501665115,0.2540615200996399,0.8416507660795435,0.4002246239871768,0.3851050601585767,0.7460624841235254,0.6194302135003683,0.7570330611175519,0.7108665262849204,0.3002626843258711,0.7609517393261458,0.5686731797300552,0.8234586585354565,0.4729618200659752,0.2470910620689392,0.2959691652655601,0.6239222875237465,0.3926139184832573,0.6642051315307618,0.4082131806015968,0.2057506172358989,0.4178397658467292,0.3314316546916961,0.6653297141194343,0.47411808964854396,0.18920960124923705,0.26998447522972957,0.20715680214249527,0.26320426246444684,0.2067469530754228,0.5107583387385891,0.4023547422900678,0.40860482271974663,0.299826504583528,0.6414201910945883,0.6205815335335645,0.4711484837130245,0.34918111690408665,0.20802280043586951,0.16712249449722344,0.4419433458522094,0.21167320814805762,0.35558116494828335,0.227879781298339,0.5387600893175482,0.3883159919877052
synthetic_batch_79.out,0.1930902898311615,0.120393194258213,0.1884882748126983,0.1983730942010879,0.3683289587497711,0.4009517431259155,0.2048374712467193,0.1400484293699264,0.1410288214683532,0.3463361263275146,0.332116037607193,0.628293750075696,0.5489054306109281,0.4363581086353959,0.8344635461346036,0.4261130532920666,0.5941823933822303,0.6531935789828763,0.1691414285978379,0.8543244801824099,0.6392831351908476,0.7003096906913769,0.4846007230877876,0.2413990308344364,0.2712605687975883,0.4833012101054191,0.4260172438621521,0.4365668845176697,0.3729771548509598,0.1534175916016101,0.421703864634037,0.5051933366060257,0.5935634815692902,0.41069201995342874,0.29539756412842044,0.3346493124345706,0.19747382014971307,0.3124231917240471,0.26325954434863147,0.5164183201678457,0.3205446227990741,0.39722100602091887,0.39511953005951345,0.49756706825407293,0.47880674096317377,0.4290155251147978,0.3118733778169082,0.15459492898388216,0.15322618647460567,0.49767665082538154,0.24209368551220772,0.49280963075918105,0.44927458971819645,0.5162128641492849,0.4505584725278707
synthetic_batch_114.out,0.1092272922396659,0.117876224219799,0.1336747407913208,0.1649851351976394,0.3372400104999542,0.2723776996135711,0.1148740947246551,0.132253497838974,0.1130883768200874,0.1461932212114334,0.1479922533035278,0.6614900172610149,0.5397033102856702,0.3941927136531893,0.5761551866251613,0.9775681269170592,0.8633473964073529,0.4371909833190104,0.2738502371490744,0.3979166543844468,0.3528951853269849,0.8629302966959694,0.3694299337267875,0.2553041733801365,0.2869293741881847,0.4081345032155514,0.7964352828264236,0.6186851313710213,0.3162010477483272,0.2354708522558212,0.2643466131389141,0.1987122525274753,0.6701827369630337,0.38535865475034037,0.18749485067566576,0.3287897672527346,0.19349199625941912,0.26393372722225505,0.19964712116934127,0.3705701609114004,0.2565156382974413,0.6574040687085068,0.5014801414806997,0.567862548010462,0.41410827078609924,0.2760325390218328,0.18194202251851477,0.2030518674940242,0.17836650405622842,0.2555025156022671,0.176122526417965,0.24954420326920915,0.20674046207878155,0.5054612749997486,0.2526543681352876
synthetic_batch_110.out,0.0334603451192379,0.3131828606128692,0.3112841546535492,0.307322233915329,0.6768633127212524,0.6651973724365234,0.3181745707988739,0.0628566592931747,0.0718375444412231,0.2904525101184845,0.4012124240398407,0.4288424950996752,0.0348837209302325,0.4205595197311711,0.939918797093028,0.0719726152994496,0.6901945995847237,0.6358009355353562,0.3723571519188379,0.5754562115117663,0.6445382309698229,0.6132215830778004,0.1653272398933768,0.0774637050926685,0.3527227234840393,0.6475483185052872,0.1627594327926635,0.6370088773965835,0.4314201056957245,0.1133640022575855,0.3236090855300426,0.4954809153079986,0.5253072810173035,0.23115142010945655,0.06207713489726981,0.17403329077155086,0.06277525099546721,0.36592183719236016,0.3577636021547432,0.6236205155041785,0.46319506372894925,0.374417964010351,0.13011027113926343,0.6776959860106235,0.677465476542515,0.47698775316711506,0.4241108674893151,0.2176069056060063,0.10755691124948044,0.3236468779764947,0.12772983143516287,0.4674953705441537,0.40044834419345615,0.5072170035588206,0.4850628352242556
synthetic_batch_1028.out,0.1238729953765869,0.161260724067688,0.1034838706254959,0.1974020451307296,0.4026256203651428,0.147574320435524,0.1495410054922104,0.1333305388689041,0.1334776878356933,0.158601239323616,0.1473183035850525,0.7331738952691673,0.3498166736677421,0.2842984699986062,0.7627343835926274,0.5966744205864051,0.5737849444229243,0.2562187945133222,0.3659533745295072,0.1786056353531221,0.608015603453983,0.700263198472401,0.3380667369067669,0.2345080718398094,0.1487259432673454,0.5068554726243019,0.4849735641479492,0.2239706262946129,0.1932166507840156,0.2425480614602565,0.1607849112153053,0.25471201390028,0.4282408508658409,0.4285234453228771,0.21193810404114952,0.2555386988677151,0.22075595726427683,0.19389117031205105,0.15173618293712268,0.48006821436167846,0.31363319359293523,0.49965002047577395,0.48080936435438737,0.36067963242922413,0.23476768754322117,0.2028799000027663,0.18885663960304497,0.24964195669920566,0.19545096213816185,0.1560416615944077,0.15277886045154807,0.3833084213887995,0.251578162270754,0.42379075102872676,0.2434257619157059
